Education,JobSkill,Income(K),WorkPerDay,HealthCondition,Loan
2,1,29,6,8,0
4,3,59,10,6,0
1,0,30,8,7,0
1,1,46,10,2,1
4,3,56,10,5,0
2,1,20,4,4,1
4,3,58,10,4,0
2,2,26,4,7,1
4,4,65,10,6,0
1,0,39,10,4,1
1,1,44,10,5,0
2,1,44,10,4,1
1,1,31,6,3,1
4,4,65,10,4,0
2,1,36,8,2,1
1,1,44,10,2,1
3,3,40,6,3,1
2,2,27,4,10,0
3,3,57,10,6,0
1,1,21,4,4,1
3,3,56,10,2,1
2,2,37,6,9,0
3,3,41,6,7,0
1,0,14,4,10,0
4,4,38,4,9,0
1,0,39,10,6,0
3,2,42,8,8,0
1,1,21,4,7,1
2,2,36,6,8,0
3,3,40,6,7,0
3,2,28,4,8,0
1,0,33,8,6,1
4,4,40,4,4,1
4,3,32,4,10,0
2,1,39,8,2,1
2,1,39,8,8,0
4,3,33,4,5,1
3,2,42,8,7,0
1,0,15,4,10,0
3,2,53,10,6,0
2,1,20,4,7,1
2,2,29,4,6,1
2,1,20,4,7,1
4,3,48,8,8,0
4,3,48,8,2,1
2,2,26,4,10,0
3,3,40,6,3,1
2,2,50,10,1,1
2,1,30,6,7,0
1,1,45,10,7,0
1,0,23,6,9,0
2,2,52,10,4,0
1,1,39,8,5,1
1,0,40,10,3,1
2,2,44,8,5,0
4,3,41,6,7,0
4,4,48,6,4,1
3,3,34,4,10,0
2,1,37,8,2,1
1,0,23,6,6,1
3,3,56,10,4,0
4,3,57,10,2,1
4,4,49,6,8,0
3,3,43,6,5,0
2,2,52,10,3,1
2,2,35,6,6,1
2,1,29,6,8,0
4,3,56,10,1,1
1,1,36,8,3,1
1,1,39,8,7,0
2,2,34,6,8,0
4,4,63,10,5,0
1,0,41,10,2,1
3,2,37,6,7,0
1,0,32,8,4,1
1,1,46,10,1,1
2,1,23,4,10,0
4,3,56,10,3,1
2,1,46,10,6,0
3,3,57,10,4,0
4,3,32,4,7,0
1,1,28,6,6,1
1,1,23,4,6,1
2,1,37,8,8,0
4,4,49,6,8,0
3,3,41,6,4,1
4,4,41,4,6,0
4,4,62,10,3,0
3,3,58,10,7,0
2,1,20,4,9,0
1,1,20,4,9,0
3,3,48,8,7,0
2,2,27,4,9,0
4,4,40,4,8,0
4,3,51,8,8,0
3,3,48,8,8,0
4,3,33,4,7,0
2,1,38,8,3,1
1,0,33,8,8,0
4,3,59,10,4,0
2,2,52,10,6,0
2,1,44,10,1,1
4,3,34,4,5,1
3,2,42,8,7,0
1,0,32,8,5,1
1,0,24,6,4,1
3,2,52,10,1,1
3,3,50,8,2,1
4,3,51,8,7,0
4,4,55,8,6,0
4,3,56,10,7,0
4,4,46,6,6,0
2,2,34,6,5,1
4,3,56,10,4,0
4,3,42,6,3,1
1,1,31,6,3,1
3,2,27,4,8,0
3,3,42,6,4,1
3,3,41,6,4,1
1,1,23,4,4,1
1,1,21,4,5,1
4,4,55,8,4,0
4,3,42,6,7,0
2,1,47,10,7,0
2,1,30,6,9,0
2,1,23,4,5,1
4,3,32,4,9,0
1,1,28,6,5,1
1,1,39,8,7,0
2,1,38,8,5,1
2,1,39,8,6,0
3,2,28,4,5,1
